individual-local-identifier,timestamp,location-long,location-lat,argos:lc,argos:nb-mes,sensor-type,manually-marked-outlier
"1993CA-Bmu-00834",1993-08-29 01:13:00.000,-122.43299999999999,37.058,"",,"gps",
"1993CA-Bmu-10823",1993-08-28 18:20:00.000,-122.412,37.012,"",,"gps",
"1993CA-Bmu-10833",1993-08-28 18:54:00.000,-122.41500000000002,37.022,"",,"gps",
"1993CA-Bmu-10836",1993-08-31 23:40:00.000,-122.773,37.198,"",,"gps",
"1994CA-Bmu-10820",1994-09-13 21:28:00.000,-123.102,37.687,"",,"gps",
"1994CA-Bmu-10821",1994-09-13 20:31:00.000,-123.0,37.6,"",,"gps",
"1994CA-Bmu-10822",1994-09-13 22:35:00.000,-123.4,37.0,"",,"gps",
"1994CA-Bmu-10823",1994-09-14 21:22:00.000,-123.142,37.745,"",,"gps",
"1994CA-Bmu-10824",1994-09-14 22:00:00.000,-123.125,37.745,"",,"gps",
"1994CA-Bmu-10828",1994-10-01 19:00:00.000,-120.458,34.236,"",,"gps",
"1994CA-Bmu-10829",1994-09-27 20:55:00.000,-120.048,34.123,"",,"gps",
"1994CA-Bmu-00848",1994-10-06 18:58:00.000,-119.941,34.147,"",,"gps",
"1994CA-Bmu-23029",1994-10-07 17:27:00.000,-119.93799999999999,34.148,"",,"gps",
"1995CA-Bmu-04172",1995-08-23 19:09:00.000,-119.50999999999999,33.374,"",,"gps",
"1995CA-Bmu-04173",1995-09-18 20:30:00.000,-120.09899999999999,34.159,"",,"gps",
"1995CA-Bmu-04176",1995-10-02 21:37:00.000,-120.565,34.046,"",,"gps",
"1995CA-Bmu-23037",1995-09-11 18:06:00.000,-120.084,34.115,"",,"gps",
"1995CA-Bmu-23040",1995-09-18 23:21:00.000,-120.10899999999998,34.152,"",,"gps",
"1995CA-Bmu-23041",1995-09-10 20:42:00.000,-120.225,34.149,"",,"gps",
"1995CA-Bmu-23042",1995-08-23 22:02:00.000,-119.4,33.31,"",,"gps",
"1995CA-Bmu-23043",1995-10-02 19:54:00.000,-120.554,34.031,"",,"gps",
"1995CA-Bmu-00837",1995-09-19 22:28:00.000,-120.04599999999999,34.154,"",,"gps",
"1995CA-Bmu-00841",1995-09-10 22:41:00.000,-120.22,34.163,"",,"gps",
"1995CA-Bmu-00845",1995-09-10 23:40:00.000,-120.21699999999998,34.137,"",,"gps",
"1995CA-Bmu-02082",1995-10-02 18:14:00.000,-120.525,33.994,"",,"gps",
"1995CA-Bmu-02083",1995-08-08 22:20:00.000,-120.08499999999998,34.096,"",,"gps",
"1995CA-Bmu-23031",1995-10-02 19:10:00.000,-120.535,34.022,"",,"gps",
"1998CA-Bmu-00823",1998-10-10 22:58:00.000,-124.42599999999999,41.916,"",,"gps",
"1998CA-Bmu-00824",1998-08-12 21:04:00.000,-122.39499999999998,37.01,"",,"gps",
"1998CA-Bmu-00826",1998-08-12 22:50:00.000,-122.43200000000002,37.082,"",,"gps",
"1998CA-Bmu-00827",1998-08-26 21:52:00.000,-119.525,33.386,"",,"gps",
"1998CA-Bmu-00833",1998-08-24 20:35:00.000,-119.19999999999999,33.192,"",,"gps",
"1998CA-Bmu-01390",1998-08-28 22:04:00.000,-123.054,37.607,"",,"gps",
"1998CA-Bmu-04174",1998-08-24 21:45:00.000,-119.18299999999999,33.196,"",,"gps",
"1998CA-Bmu-04175",1998-10-10 20:04:00.000,-124.47399999999999,41.819,"",,"gps",
"1998CA-Bmu-10823",1998-08-31 22:18:00.000,-119.263,32.902,"",,"gps",
"1999CA-Bmu-00830",1999-07-21 18:58:00.000,-120.07999999999998,34.12,"",,"gps",
"1999CA-Bmu-00832",1999-07-23 18:27:00.000,-120.11000000000001,34.12,"",,"gps",
"1999CA-Bmu-00834",1999-07-29 19:29:00.000,-119.97,34.15,"",,"gps",
"1999CA-Bmu-00837",1999-08-01 16:52:00.000,-119.91,34.13,"",,"gps",
"1999CA-Bmu-00838",1999-10-02 21:42:00.000,-120.60399999999998,34.135,"",,"gps",
"1999CA-Bmu-00845",1999-10-08 20:51:00.000,-120.57999999999998,34.038,"",,"gps",
"1999CA-Bmu-00849",1999-10-08 20:22:00.000,-120.57499999999999,34.035,"",,"gps",
"1999CA-Bmu-01388",1999-10-08 23:06:00.000,-120.58100000000002,34.017,"",,"gps",
"1999CA-Bmu-02082",1999-10-03 23:17:00.000,-120.60500000000002,34.053,"",,"gps",
"1999CA-Bmu-04172",1999-10-08 18:43:00.000,-120.589,34.032,"",,"gps",
"1999CA-Bmu-04173",1999-10-02 22:42:00.000,-120.565,34.159,"",,"gps",
"1999CA-Bmu-04176",1999-10-03 16:42:00.000,-120.369,34.107,"",,"gps",
"1999CA-Bmu-10821",1999-10-08 18:16:00.000,-120.57499999999999,34.019,"",,"gps",
"1999CA-Bmu-10824",1999-07-27 19:36:00.000,-120.05000000000001,34.12,"",,"gps",
"1999CA-Bmu-23030",1999-10-08 18:56:00.000,-120.59300000000002,34.033,"",,"gps",
"1999CA-Bmu-23031",1999-10-03 16:59:00.000,-120.394,34.113,"",,"gps",
"1999CA-Bmu-23033",1999-07-20 18:18:00.000,-120.0,34.14,"",,"gps",
"1999CA-Bmu-23038",1999-07-22 16:17:00.000,-120.1,34.12,"",,"gps",
"1999CA-Bmu-23043",1999-07-22 15:56:00.000,-120.09,34.12,"",,"gps",
"2000CA-Bmu-00826",2000-10-06 00:24:00.000,-123.01999999999998,37.61,"",,"gps",
"2000CA-Bmu-00827",2000-10-04 20:53:00.000,-123.04000000000002,37.62,"",,"gps",
"2000CA-Bmu-01386",2000-10-05 23:59:00.000,-123.01999999999998,37.61,"",,"gps",
"2000CA-Bmu-01390",2000-10-07 17:38:00.000,-123.00999999999999,37.58,"",,"gps",
"2000CA-Bmu-10823",2000-10-04 19:51:00.000,-123.04000000000002,37.62,"",,"gps",
"2000CA-Bmu-10825",2000-10-06 00:09:00.000,-123.01999999999998,37.61,"",,"gps",
"2000CA-Bmu-10827",2000-10-04 19:14:00.000,-123.01999999999998,37.6,"",,"gps",
"2000CA-Bmu-10828",2000-10-05 23:37:00.000,-123.01999999999998,37.61,"",,"gps",
"2000CA-Bmu-10832",2000-10-04 21:55:00.000,-123.03,37.62,"",,"gps",
"2000CA-Bmu-23029",2000-10-06 22:36:00.000,-122.98000000000002,37.52,"",,"gps",
"2000CA-Bmu-23035",2000-10-07 22:43:00.000,-123.0,37.57,"",,"gps",
"2000CA-Bmu-23042",2000-10-07 22:19:00.000,-123.0,37.57,"",,"gps",
"2001MX-Bmu-10831",2001-03-26 20:26:00.000,-111.095,25.933,"",,"gps",
"2002MX-Bmu-00837",2002-03-23 18:08:00.000,-110.345,24.663,"",,"gps",
"2002MX-Bmu-00840",2002-03-21 20:29:00.000,-110.34899999999999,24.672,"",,"gps",
"2004CA-Bmu-00832",2004-07-29 02:44:00.000,-122.852,37.433,"",,"gps",
"2004CA-Bmu-00834",2004-08-12 20:55:00.000,-120.10899999999998,34.138,"",,"gps",
"2004CA-Bmu-00840",2004-08-20 17:06:00.000,-123.076,37.417,"",,"gps",
"2004CA-Bmu-00849",2004-08-12 21:22:00.000,-120.132,34.131,"",,"gps",
"2004CA-Bmu-01389",2004-08-13 19:33:00.000,-119.52699999999999,34.103,"",,"gps",
"2004CA-Bmu-04175",2004-08-20 16:30:00.000,-123.077,37.415,"",,"gps",
"2004CA-Bmu-10821",2004-08-12 23:21:00.000,-120.132,34.135,"",,"gps",
"2004CA-Bmu-10834",2004-08-12 22:30:00.000,-120.137,34.133,"",,"gps",
"2004CA-Bmu-10843",2004-08-03 02:29:00.000,-123.142,37.744,"",,"gps",
"2004CA-Bmu-23030",2004-08-13 17:45:00.000,-120.00799999999998,34.096,"",,"gps",
"2004CA-Bmu-23034",2004-08-03 00:10:00.000,-123.255,37.785,"",,"gps",
"2004CA-Bmu-23036",2004-07-29 02:37:00.000,-122.851,37.433,"",,"gps",
"2004CA-Bmu-23043",2004-08-07 18:01:00.000,-120.16300000000001,34.181,"",,"gps",
