OrderNumber,PizzaNumber,ReceivedTime,Canceled,CancelReason,StartedTime,ReadyTime,Dough,Sauce,Cheese,Toppings,PizzaIngredDesc
1,1,07-Jun-2021 11:10:26,0,NC,07-Jun-2021 11:10:26,07-Jun-2021 11:21:45,0.493013371163688,0.25637530479718,0.409646125559854,0,"Order #1, Pizza 1 of 1: cheese, heavy cheese"
2,1,07-Jun-2021 11:12:48,0,NC,07-Jun-2021 11:12:48,07-Jun-2021 11:23:54,0.507179432306088,0.27818068979601,0.345034226071347,0.313429942672162,"Order #2, Pizza 1 of 2: chicken, sweet peppers, broccoli"
2,2,07-Jun-2021 11:12:48,0,NC,07-Jun-2021 11:12:48,07-Jun-2021 11:23:54,0.477409957323092,0.310698469326637,0.610777481195395,0.298738902536207,"Order #2, Pizza 2 of 2: mushroom, eggplant, tomato, heavy cheese"
3,1,07-Jun-2021 11:18:39,0,NC,07-Jun-2021 11:18:39,07-Jun-2021 11:29:53,0.353401046185197,0.270693860198357,0.565209411566589,0.19393118150428,"Order #3, Pizza 1 of 1: pepperoni, broccoli, heavy cheese"
4,1,07-Jun-2021 11:33:39,0,NC,07-Jun-2021 11:33:39,07-Jun-2021 11:44:55,0.473509717367733,0.128622590836639,0.385535825270306,0,"Order #4, Pizza 1 of 1: cheese, light sauce"
5,1,07-Jun-2021 12:11:28,0,NC,07-Jun-2021 12:11:28,07-Jun-2021 12:22:24,0.47553653913324,0.246702419615819,0.315404803307022,0.22186531338079,"Order #5, Pizza 1 of 2: pepperoni, sweet peppers"
5,2,07-Jun-2021 12:11:28,0,NC,07-Jun-2021 12:11:28,07-Jun-2021 12:22:37,0.565070423425208,0.315769671622926,0.319802867233212,0.0951710591678528,"Order #5, Pizza 2 of 2: bacon, heavy sauce"
6,1,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:02,07-Jun-2021 13:00:57,0.400751849482648,0.234703015268643,0.492303259576469,0,"Order #6, Pizza 1 of 7: cheese, heavy cheese"
6,2,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:02,07-Jun-2021 13:01:08,0.538741863809152,0.227729985170265,0.353094363645217,0.130652606165695,"Order #6, Pizza 2 of 7: bacon"
6,3,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:02,07-Jun-2021 13:01:09,0.538048817430469,0.135153963254803,0.503437245327017,0.147009144480041,"Order #6, Pizza 3 of 7: artichokes, light sauce, heavy cheese"
6,4,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:02,07-Jun-2021 13:01:24,0.388426726899705,0.228218714098955,0.34097662390915,0.211050540422244,"Order #6, Pizza 4 of 7: olives, eggplant"
6,5,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:55,07-Jun-2021 13:01:57,0.45838997728132,0.153746620491579,0.45341965010465,0.0613395416429803,"Order #6, Pizza 5 of 7: hot peppers, light sauce"
6,6,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:39,07-Jun-2021 13:01:58,0.385642723492036,0.254313401728075,0.383403526602907,0,"Order #6, Pizza 6 of 7: cheese"
6,7,07-Jun-2021 12:50:02,0,NC,07-Jun-2021 12:50:37,07-Jun-2021 13:01:59,0.489055512788795,0.255831687479684,0.342157860487707,0.231753981799481,"Order #6, Pizza 7 of 7: olives, onions"
7,1,07-Jun-2021 13:35:30,0,NC,07-Jun-2021 13:35:30,07-Jun-2021 13:46:18,0.558367546240372,0.278733932454379,0.388438154789623,0,"Order #7, Pizza 1 of 4: cheese"
7,2,07-Jun-2021 13:35:30,0,NC,07-Jun-2021 13:35:30,07-Jun-2021 13:46:26,0.414882707685218,0.252001856662786,0.383615021190156,0,"Order #7, Pizza 2 of 4: cheese"
7,3,07-Jun-2021 13:35:30,0,NC,07-Jun-2021 13:35:30,07-Jun-2021 13:46:30,0.401973875029301,0.246117529284835,0.379574524944179,0,"Order #7, Pizza 3 of 4: cheese"
7,4,07-Jun-2021 13:35:30,0,NC,07-Jun-2021 13:35:30,07-Jun-2021 13:46:49,0.353372361179216,0.228836394840253,0.53300875576914,0.0945506118149963,"Order #7, Pizza 4 of 4: hot peppers, heavy cheese"
8,1,07-Jun-2021 13:49:59,0,NC,07-Jun-2021 13:49:59,07-Jun-2021 14:01:05,0.53787396943109,0.242923000044511,0.378061658326531,0,"Order #8, Pizza 1 of 1: cheese"
9,1,07-Jun-2021 14:03:23,0,NC,07-Jun-2021 14:03:23,07-Jun-2021 14:14:27,0.490637972072476,0.172549845566832,0.351339195289778,0.19401867939334,"Order #9, Pizza 1 of 1: extra artichokes, light sauce"
10,1,07-Jun-2021 14:12:33,0,NC,07-Jun-2021 14:12:33,07-Jun-2021 14:23:28,0.531494822570286,0.245504578878948,0.321418793448514,0.0941249280452917,"Order #10, Pizza 1 of 3: pepperoni"
10,2,07-Jun-2021 14:12:33,0,NC,07-Jun-2021 14:12:33,07-Jun-2021 14:23:38,0.45183118342013,0.233372669768648,0.279991505262128,0,"Order #10, Pizza 2 of 3: cheese"
10,3,07-Jun-2021 14:12:33,0,NC,07-Jun-2021 14:12:33,07-Jun-2021 14:23:50,0.407315431254721,0.249599442967149,0.238569176905265,0.0840367283087172,"Order #10, Pizza 3 of 3: pepperoni, light cheese"
11,1,07-Jun-2021 14:56:01,0,NC,07-Jun-2021 14:56:01,07-Jun-2021 15:07:14,0.435877270861484,0.121018054143225,0.44671982314739,0.207827072088658,"Order #11, Pizza 1 of 2: mushroom, olives, light sauce, heavy cheese"
11,2,07-Jun-2021 14:56:01,0,NC,07-Jun-2021 14:56:01,07-Jun-2021 15:07:16,0.382165900508965,0.356150703184765,0.451039987684732,0,"Order #11, Pizza 2 of 2: cheese, heavy sauce"
12,1,07-Jun-2021 15:37:09,0,NC,07-Jun-2021 15:37:09,07-Jun-2021 15:48:12,0.444570755716585,0.250460912488502,0.341295745994272,0.216521255804232,"Order #12, Pizza 1 of 4: olives, prosciutto"
12,2,07-Jun-2021 15:37:09,0,NC,07-Jun-2021 15:37:09,07-Jun-2021 15:48:13,0.382103249605307,0.227647226334696,0.372111333837782,0.31320286282094,"Order #12, Pizza 2 of 4: spinach, prosciutto, mushroom"
12,3,07-Jun-2021 15:37:09,0,NC,07-Jun-2021 15:37:09,07-Jun-2021 15:48:15,0.57215813493867,0.253664545260029,0.341611466464451,0.11898443662262,"Order #12, Pizza 3 of 4: ham"
12,4,07-Jun-2021 15:37:09,0,NC,07-Jun-2021 15:37:09,07-Jun-2021 15:48:20,0.486134353514259,0.267240432231138,0.357347563834478,0,"Order #12, Pizza 4 of 4: cheese"
13,1,07-Jun-2021 16:14:57,0,NC,07-Jun-2021 16:14:57,07-Jun-2021 16:25:49,0.474564953531736,0.231170284580891,0.370609853420994,0.0970789073133695,"Order #13, Pizza 1 of 1: artichokes"
14,1,07-Jun-2021 16:20:30,0,NC,07-Jun-2021 16:20:30,07-Jun-2021 16:31:30,0.428074381605392,0.282069145962401,0.490039010299451,0.295407470980736,"Order #14, Pizza 1 of 3: sweet peppers, ham, pineapple, heavy cheese"
14,2,07-Jun-2021 16:20:30,0,NC,07-Jun-2021 16:20:30,07-Jun-2021 16:31:33,0.407439089855294,0.235759909019452,0.464970826153599,0.0961552096492145,"Order #14, Pizza 2 of 3: olives, heavy cheese"
14,3,07-Jun-2021 16:20:30,0,NC,07-Jun-2021 16:20:30,07-Jun-2021 16:31:39,0.329507223681622,0.24477672708447,0.343762358571009,0.207837884188649,"Order #14, Pizza 3 of 3: sweet peppers, ham"
15,1,07-Jun-2021 16:31:23,0,NC,07-Jun-2021 16:31:23,07-Jun-2021 16:42:11,0.349945687453887,0.243588489867995,0.320355756242383,0.139416453171917,"Order #15, Pizza 1 of 1: sausage, hot peppers"
16,1,07-Jun-2021 16:48:08,0,NC,07-Jun-2021 16:48:08,07-Jun-2021 16:58:59,0.413438828730273,0.257006420027122,0.45733194404061,0.10364904335012,"Order #16, Pizza 1 of 1: mushroom, heavy cheese"
17,1,07-Jun-2021 16:51:22,1,U,NaT,NaT,1e-09,1e-09,1e-09,1e-09,"Order #17, Pizza 1 of 1: sausage"
18,1,07-Jun-2021 16:52:27,0,NC,07-Jun-2021 16:52:27,07-Jun-2021 17:03:33,0.468587761009958,0.290473817732061,0.33508765033106,0,"Order #18, Pizza 1 of 1: cheese"
19,1,07-Jun-2021 17:00:25,0,NC,07-Jun-2021 17:00:25,07-Jun-2021 17:11:29,0.477005096049049,0.244438716724694,0.283433421000518,0.166595986042991,"Order #19, Pizza 1 of 1: sweet peppers, pepperoni"
20,1,07-Jun-2021 17:08:01,0,NC,07-Jun-2021 17:08:01,07-Jun-2021 17:18:56,0.522890181252309,0.268595789171154,0.364008046954981,0.186192777937775,"Order #20, Pizza 1 of 5: tomato, artichokes"
20,2,07-Jun-2021 17:08:01,0,NC,07-Jun-2021 17:08:01,07-Jun-2021 17:18:58,0.39792738107218,0.168496518669874,0.312224887743831,0.198901621707812,"Order #20, Pizza 2 of 5: olives, artichokes, light sauce"
20,3,07-Jun-2021 17:08:01,0,NC,07-Jun-2021 17:08:01,07-Jun-2021 17:19:12,0.397875708659978,0.211023056462022,0.435526784452888,0.317234326047868,"Order #20, Pizza 3 of 5: extra pineapple, ham, heavy cheese"
20,4,07-Jun-2021 17:08:01,0,NC,07-Jun-2021 17:08:01,07-Jun-2021 17:19:13,0.487730746113304,0.256541199343542,0.352647601936984,0.320121542216381,"Order #20, Pizza 4 of 5: pepperoni, spinach, sweet peppers"
20,5,07-Jun-2021 17:08:01,0,NC,07-Jun-2021 17:08:41,07-Jun-2021 17:19:52,0.450092966678681,0.206151301600682,0.250548643171869,0,"Order #20, Pizza 5 of 5: cheese"
21,1,07-Jun-2021 17:08:37,0,NC,07-Jun-2021 17:08:44,07-Jun-2021 17:19:42,0.37412152131436,0.23617681749234,0.527079112227361,0.202012667006302,"Order #21, Pizza 1 of 2: pepperoni, artichokes, heavy cheese"
21,2,07-Jun-2021 17:08:37,0,NC,07-Jun-2021 17:08:46,07-Jun-2021 17:20:02,0.516085599877594,0.247055970876975,0.385915537039403,0.257526890751685,"Order #21, Pizza 2 of 2: extra pineapple, olives"
22,1,07-Jun-2021 17:16:16,0,NC,07-Jun-2021 17:16:16,07-Jun-2021 17:27:05,0.460961989930404,0.231400768821197,0.36207274221044,0.0573581080167693,"Order #22, Pizza 1 of 3: prosciutto"
22,2,07-Jun-2021 17:16:16,0,NC,07-Jun-2021 17:16:16,07-Jun-2021 17:27:21,0.409633087558879,0.266514542984835,0.334696607891694,0,"Order #22, Pizza 2 of 3: cheese"
22,3,07-Jun-2021 17:16:16,0,NC,07-Jun-2021 17:16:16,07-Jun-2021 17:27:25,0.541628936841478,0.221427062707358,0.301846001039911,0.0887867000694363,"Order #22, Pizza 3 of 3: pepperoni"
23,1,07-Jun-2021 17:18:06,0,NC,07-Jun-2021 17:18:06,07-Jun-2021 17:29:06,0.624222296734732,0.222037242483779,0.40012453987262,0.103288081466375,"Order #23, Pizza 1 of 2: sausage, heavy cheese"
23,2,07-Jun-2021 17:18:06,0,NC,07-Jun-2021 17:18:06,07-Jun-2021 17:29:14,0.50981872230465,0.256550242416594,0.413052005861843,0.201703771854423,"Order #23, Pizza 2 of 2: sausage, eggplant"
24,1,07-Jun-2021 17:27:09,0,NC,07-Jun-2021 17:27:09,07-Jun-2021 17:38:15,0.520476222830484,0.187171858971114,0.318634152653436,0,"Order #24, Pizza 1 of 2: cheese, light sauce"
24,2,07-Jun-2021 17:27:09,0,NC,07-Jun-2021 17:27:09,07-Jun-2021 17:38:16,0.495053356411678,0.247502201055538,0.313810951488079,0.282783686199861,"Order #24, Pizza 2 of 2: bacon, hot peppers, onions"
25,1,07-Jun-2021 17:31:28,0,NC,07-Jun-2021 17:31:28,07-Jun-2021 17:42:36,0.512773477383026,0.244317180907477,0.340645598314834,0.0706120985102729,"Order #25, Pizza 1 of 1: pepperoni"
26,1,07-Jun-2021 17:33:12,0,NC,07-Jun-2021 17:33:12,07-Jun-2021 17:44:11,0.404399206668625,0.216022718316548,0.313650176525027,0.197644034214641,"Order #26, Pizza 1 of 5: ham, pineapple"
26,2,07-Jun-2021 17:33:12,0,NC,07-Jun-2021 17:33:12,07-Jun-2021 17:44:12,0.465374579589663,0.231906918815063,0.346230376481611,0.107001255150684,"Order #26, Pizza 2 of 5: sweet peppers"
26,3,07-Jun-2021 17:33:12,0,NC,07-Jun-2021 17:33:12,07-Jun-2021 17:44:12,0.303131268599656,0.243684560099812,0.596978445797575,0.179280304429732,"Order #26, Pizza 3 of 5: spinach, mushroom, heavy cheese"
26,4,07-Jun-2021 17:33:12,0,NC,07-Jun-2021 17:33:12,07-Jun-2021 17:44:21,0.600229236839669,0.256398982687647,0.53149383119741,0,"Order #26, Pizza 4 of 5: cheese, heavy cheese"
26,5,07-Jun-2021 17:33:12,0,NC,07-Jun-2021 17:33:48,07-Jun-2021 17:45:10,0.505932826691533,0.129594712286341,0.369771482215176,0.102193171826552,"Order #26, Pizza 5 of 5: sausage, light sauce"
27,1,07-Jun-2021 17:33:51,0,NC,07-Jun-2021 17:34:01,07-Jun-2021 17:45:01,0.410559214774684,0.262226703881305,0.351833644228548,0.236280309005608,"Order #27, Pizza 1 of 3: spinach, sweet peppers"
27,2,07-Jun-2021 17:33:51,0,NC,07-Jun-2021 17:34:00,07-Jun-2021 17:45:08,0.331488074273698,0.239184271670229,0.38274205474084,0.0780681339694906,"Order #27, Pizza 2 of 3: pepperoni"
27,3,07-Jun-2021 17:33:51,0,NC,07-Jun-2021 17:33:58,07-Jun-2021 17:45:11,0.540298916162263,0.273482335029874,0.400462028725646,0.186863681421038,"Order #27, Pizza 3 of 3: mushroom, spinach"
28,1,07-Jun-2021 17:34:59,0,NC,07-Jun-2021 17:34:59,07-Jun-2021 17:46:04,0.275118270980141,0.27940402561697,0.292359456094443,0.116246460092816,"Order #28, Pizza 1 of 4: mushroom"
28,2,07-Jun-2021 17:34:59,0,NC,07-Jun-2021 17:34:59,07-Jun-2021 17:46:06,0.447394679264442,0.248744175485633,0.332997660375599,0,"Order #28, Pizza 2 of 4: cheese"
28,3,07-Jun-2021 17:34:59,0,NC,07-Jun-2021 17:34:59,07-Jun-2021 17:46:10,0.493643208282089,0.280325337932919,0.215898679831812,0,"Order #28, Pizza 3 of 4: cheese, light cheese"
28,4,07-Jun-2021 17:34:59,0,NC,07-Jun-2021 17:34:59,07-Jun-2021 17:46:17,0.474961906266342,0.244794982765878,0.471075140817183,0.211878615912975,"Order #28, Pizza 4 of 4: sausage, onions, heavy cheese"
29,1,07-Jun-2021 17:35:41,0,NC,07-Jun-2021 17:35:41,07-Jun-2021 17:46:52,0.499000903853356,0.254990354811256,0.305250719901891,0,"Order #29, Pizza 1 of 4: cheese"
29,2,07-Jun-2021 17:35:41,0,NC,07-Jun-2021 17:35:49,07-Jun-2021 17:46:54,0.398743239461915,0.219579468764621,0.456805349970447,0.0881349936997839,"Order #29, Pizza 2 of 4: sausage, heavy cheese"
29,3,07-Jun-2021 17:35:41,0,NC,07-Jun-2021 17:35:53,07-Jun-2021 17:46:57,0.495699810377158,0.236855974018033,0.460521524665939,0,"Order #29, Pizza 3 of 4: cheese, heavy cheese"
